#                                                                                                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                                           accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                                   ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
WP_039598695.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_A12|3085                                -          CSD                  PF00313.25   5.3e-33  108.5   0.5   5.7e-33  108.4   0.5   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Bg07|12167               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Cq01|12160               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Fm03|12153               -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_LMG9673|24964            -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed13|25352      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed16|25330      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed30|25323      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed54|25338      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed59|25316      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_Lallmahomed66|25309      -          CSD                  PF00313.25   6.7e-33  108.1   0.4   7.2e-33  108.0   0.4   1.0   1   0   0   1   1   1   1 -
