WP_197387532.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_NCPPB216|24909	WP_197387532.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_pseudosolanacearum_NCPPB216|24909
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_GMI1000|24
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_MolK2|396
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Po82|420
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Y45|449
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Y45|450
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004627322.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_5_2_56FAA|483
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004631953.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_5_2_56FAA|484
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_PSI07|1124
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT-91|1210
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT-91|1211
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT-1458|1217
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FJAT-1458|1218
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FQY_4|1348
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_FQY_4|1349
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CMR15|1846
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_020747761.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CMR15|1852
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SD54|1853
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_SD54|1854
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004631953.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_AU12-08|1877
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_021192552.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_AU12-08|1878
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_P673|2069
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_004631953.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_UNC404CL21Col|2219
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_027679026.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_UNC404CL21Col|2222
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Rs-10-244|2259
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Rs-10-244|2260
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Rs-09-161|2267
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_011002383.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_Rs-09-161|2268
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CFIA906|2342
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NCPPB909|2351
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_23-10BR|2621
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_NCPPB282|2628
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_POPS2|2634
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_039596962.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_A12|3083
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_039598695.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_A12|3085
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_B50|3514
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_UW179|3518
WP_124382073.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_spp_SET104|16595	WP_003265287.1|csp22_consensus|Full_Seq|Ralstonia|Ralstonia_solanacearum_CIP417|3524
