assembly_name	original_file_name	taxid	organism_name	strain	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_000007665.1_ASM766v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000007665.1_ASM766v1_genomic.gbff	281090	Leifsonia_xyli_subsp_xyli_str_CTCB07	CTCB07	74	74	100.00	0.00
GCF_000010025.1_ASM1002v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000010025.1_ASM1002v1_genomic.gbff	342109	Xanthomonas_oryzae_pv_oryzae_MAFF_311018	MAFF 311018	74	74	100.00	0.00
GCF_000011605.1_ASM1160v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000011605.1_ASM1160v1_genomic.gbff	218491	Pectobacterium_atrosepticum_SCRI1043	SCRI1043	74	74	100.00	0.00
GCF_000007145.1_ASM714v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000007145.1_ASM714v1_genomic.gbff	190485	Xanthomonas_campestris_pv_campestris_str_ATCC_33913	ATCC 33913	74	74	100.00	0.00
GCF_000009165.1_ASM916v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000009165.1_ASM916v1_genomic.gbff	316273	Xanthomonas_campestris_pv_vesicatoria_str_85-10	85-10	74	74	100.00	0.00
GCF_000012205.1_ASM1220v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000012205.1_ASM1220v1_genomic.gbff	264730	Pseudomonas_savastanoi_pv_phaseolicola_1448A	1448A; BAA-978	74	73	100.00	1.35
GCF_000009125.1_ASM912v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000009125.1_ASM912v1_genomic.gbff	267608	Ralstonia_solanacearum_GMI1000	GMI1000	74	73	100.00	1.35
GCF_000012265.1_ASM1226v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000012265.1_ASM1226v1_genomic.gbff	220664	Pseudomonas_protegens_Pf-5	Pf-5	74	73	100.00	1.35
GCF_000007805.1_ASM780v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000007805.1_ASM780v1_genomic.gbff	223283	Pseudomonas_syringae_pv_tomato_str_DC3000	DC3000	74	73	100.00	1.35
GCF_000010605.1_ASM1060v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_000010605.1_ASM1060v1_genomic.gbff	455632	Streptomyces_griseus_subsp_griseus_NBRC_13350	NBRC 13350	74	73	100.00	1.35
